Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"James McCann","ATL","AA",35,1,3,4,2,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0.666666666,"12859"
"Omar Narvaez","CHW","AA",33,3,8,9,2,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0.25,"13338"
"David Fletcher","ATL","AA",31,16,55,63,11,10,1,0,0,5,5,8,0,10,0,0,0,3,1,1,0.2,"17992"
"Travis Blankenhorn","LAA","AA",28,62,218,251,41,22,10,1,8,18,23,27,0,69,4,1,1,4,0,0,0.188073394,"18395"
"Austin Hays","CIN","AA",29,2,7,8,2,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.285714285,"19363"
"Jason Delay","ATL","AA",30,8,35,37,4,1,2,0,1,4,2,1,0,12,0,0,0,1,0,0,0.114285714,"19806"
"Tres Barrera","TBR","AA",30,29,92,113,15,13,1,0,1,8,7,17,0,24,2,2,0,1,1,0,0.163043478,"19977"
"Chandler Seagle","ATL","AA",29,34,111,122,16,10,6,0,0,4,14,6,0,42,4,1,0,2,1,1,0.144144144,"23552"
"Richie Palacios","TBR","AA",28,2,7,8,2,2,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0.285714285,"24589"
"Noelvi Marte","CIN","AA",23,4,15,17,4,3,0,1,0,3,3,1,0,1,1,0,0,0,0,0,0.266666666,"26517"
"Denzer Guzman","LAA","AA",21,93,335,386,81,46,23,1,11,39,53,41,0,92,7,3,0,7,8,3,0.241791044,"28816"
"Pedro Ramirez","CHC","AA",21,129,500,563,140,107,21,4,8,70,73,46,1,85,9,8,0,12,28,10,0.28,"29218"
"Joe Mack","MIA","AA",22,13,44,56,14,7,4,0,3,12,5,10,0,12,2,0,0,0,1,0,0.318181818,"29780"
"Edwin Arroyo","CIN","AA",21,120,464,521,132,102,23,4,3,63,44,40,0,88,7,8,2,5,12,7,0.284482758,"29957"
"Oscar Colas","LAA","AA",26,93,336,372,73,48,7,3,15,32,52,32,0,90,1,3,0,7,3,1,0.217261904,"30162"
"Sal Stewart","CIN","AA",21,80,294,329,90,61,19,0,10,51,44,27,0,51,7,1,0,6,13,2,0.306122448,"31505"
"Jacob Gonzalez","CHW","AA",23,89,328,368,80,53,19,2,6,41,47,28,0,52,4,7,1,6,12,3,0.243902439,"33225"
"Jim Jarvis","ATL","AA",24,21,83,93,22,14,8,0,0,20,8,7,0,21,3,0,0,2,6,0,0.26506024,"33492"
"Rikuu Nishida","CHW","AA",24,115,403,502,110,99,8,3,0,72,31,75,0,69,14,2,8,5,40,12,0.272952853,"33795"
"Christian Moore","LAA","AA",22,34,124,146,29,22,4,2,1,15,14,21,0,40,0,1,0,1,5,3,0.233870967,"34979"
"Sam Antonacci","CHW","AA",22,49,168,217,49,38,8,2,1,27,25,28,0,32,16,2,3,2,21,2,0.291666666,"35101"
"Cody Milligan","ATL","AA",26,53,183,225,34,26,6,0,2,25,7,34,0,66,4,2,2,3,10,3,0.185792349,"sa1169818"
"Dylan Shockley","ATL","AA",28,24,76,87,12,10,2,0,0,3,2,11,0,34,0,0,0,4,0,0,0.157894736,"sa1170874"
"Adam Hall","MIL","AA",26,32,102,123,25,20,5,0,0,15,10,13,0,30,4,1,0,2,13,1,0.245098039,"sa3005077"
"Carlos Rodriguez","ATL","AA",24,10,41,47,14,13,1,0,0,4,5,5,0,5,0,1,0,1,3,2,0.341463414,"sa3005478"
"Dalvy Rosario","MIA","AA",24,39,120,134,23,17,3,0,3,15,12,11,0,43,0,1,2,1,6,2,0.191666666,"sa3005712"
"Pablo Aliendo","CHC","AA",24,96,353,390,72,45,14,0,13,40,49,24,0,136,9,4,0,11,0,3,0.203966005,"sa3006220"
"Bladimir Restituyo","MIL","AA",23,101,324,351,64,47,10,2,5,36,19,10,0,74,4,5,8,2,18,8,0.197530864,"sa3006621"
"Nick Podkul","CHW","AA",28,25,76,92,12,11,1,0,0,6,6,14,0,32,2,0,0,2,0,0,0.157894736,"sa3006720"
"Reivaj Garcia","CHC","AA",23,67,241,266,65,53,10,2,0,28,19,19,1,45,2,2,2,5,5,2,0.269709543,"sa3006900"
"Hunter Stovall","TBR","AA",28,62,213,235,45,35,3,1,6,20,28,17,0,40,2,3,0,5,3,2,0.211267605,"sa3008181"
"Korey Holland","LAA","AA",25,42,144,160,28,17,7,0,4,10,8,15,0,50,0,1,0,2,3,2,0.194444444,"sa3008249"
"Jaylen Palmer","CHC","AA",24,117,376,437,90,72,9,1,8,57,35,53,0,153,6,2,0,4,25,9,0.239361702,"sa3008297"
"Eduardo Garcia","MIL","AA",22,33,113,128,24,18,6,0,0,12,9,14,0,38,0,1,0,0,5,3,0.21238938,"sa3008751"
