Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Mark Canha","KCR","AA",36,3,11,12,3,2,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0.272727272,"11445"
"Joc Pederson","TEX","AA",33,2,6,7,2,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.333333333,"11899"
"Kevin Pillar","TEX","AA",36,3,10,10,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.1,"12434"
"Isan Diaz","KCR","AA",29,16,57,70,18,12,2,0,4,8,12,11,0,8,1,1,0,1,2,2,0.315789473,"17922"
"Sam Haggerty","TEX","AA",31,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"18054"
"Nick Senzel","LAD","AA",30,3,12,14,3,1,2,0,0,1,4,2,0,2,0,0,0,2,1,0,0.25,"19293"
"Yordan Alvarez","HOU","AA",28,4,15,17,7,3,4,0,0,4,4,2,0,3,0,0,0,0,1,0,0.466666666,"19556"
"Eguy Rosario","SDP","AA",25,5,21,23,5,3,0,0,2,4,4,2,0,9,0,0,0,0,1,0,0.238095238,"19964"
"Lars Nootbaar","STL","AA",27,3,14,14,4,4,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0.285714285,"21454"
"Nolan Gorman","STL","AA",25,3,13,13,3,1,1,0,1,1,2,0,0,4,0,0,0,0,0,0,0.23076923,"22263"
"Jake Burger","TEX","AA",29,3,11,12,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0.181818181,"22275"
"Jordan Groshans","KCR","AA",25,59,223,250,65,55,6,1,3,24,34,22,1,35,3,2,0,11,0,1,0.29147982,"23794"
"Brandon Valenzuela","SDP","AA",24,87,328,374,75,48,14,1,12,42,46,40,0,83,2,4,0,10,6,2,0.228658536,"23813"
"Brendan Donovan","STL","AA",28,2,4,7,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,"24679"
"Bryan Lavastida","HOU","AA",26,42,146,163,37,25,7,0,5,21,15,12,0,33,4,0,0,2,12,2,0.253424657,"24765"
"Josh Jung","TEX","AA",27,2,5,6,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.4,"26299"
"Jordan Walker","STL","AA",23,10,38,43,6,1,3,0,2,5,4,5,0,12,0,0,0,5,1,0,0.157894736,"27475"
"Michael Massey","KCR","AA",27,3,14,14,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.071428571,"27684"
"Evan Carter","TEX","AA",22,1,2,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,"27790"
"Alejandro Osuna","TEX","AA",22,37,146,169,39,29,6,2,2,28,16,13,0,25,7,2,1,3,10,2,0.267123287,"27915"
"Jose Fernandez","ARI","AA",21,122,471,511,128,80,27,4,17,68,80,32,0,104,3,2,2,5,12,4,0.271762208,"28020"
"Gabriel Gonzalez","MIN","AA",21,55,212,246,73,48,19,2,4,39,15,26,0,30,6,1,0,5,5,1,0.344339622,"28833"
"Carter Jensen","KCR","AA",21,68,274,308,80,61,9,4,6,40,37,30,0,70,1,3,0,4,7,1,0.291970802,"29478"
"Jackson Merrill","SDP","AA",22,2,6,8,2,2,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0.333333333,"29490"
"Victor Scott II","STL","AA",24,3,8,10,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0.125,"31349"
"Nathan Church","STL","AA",24,29,119,129,40,26,7,1,6,21,19,8,0,10,1,1,0,0,6,0,0.336134453,"31357"
"Henry Bolte","OAK","AA",21,80,295,347,82,57,14,4,7,43,42,41,0,95,8,3,0,5,31,2,0.277966101,"31448"
"Zach Cole","HOU","AA",24,82,307,355,82,43,19,6,14,54,49,42,2,129,5,1,0,3,15,6,0.267100977,"31583"
"Tommy Troy","ARI","AA",23,87,343,399,98,64,20,2,12,56,47,49,0,70,5,1,1,3,21,4,0.285714285,"33279"
"Wyatt Langford","TEX","AA",23,3,9,11,3,1,0,0,2,3,2,2,0,1,0,0,0,0,0,0,0.333333333,"33333"
"Colt Emerson","SEA","AA",19,34,142,161,40,26,10,1,3,19,18,14,1,31,4,1,0,5,7,0,0.28169014,"33575"
"JJ Wetherholt","STL","AA",22,62,223,275,67,45,14,1,7,39,34,44,0,40,6,2,0,3,14,2,0.30044843,"34985"
"Jac Caglianone","KCR","AA",22,38,152,175,49,32,8,0,9,32,43,19,1,37,1,3,0,5,2,1,0.322368421,"35041"
"Ryan Waldschmidt","ARI","AA",22,66,249,300,77,51,14,3,9,57,35,45,1,53,5,1,0,2,19,6,0.309236947,"35061"
"Nolan Arenado","STL","AA",34,4,13,14,1,1,0,0,0,2,0,0,0,3,1,0,0,1,0,0,0.076923076,"9777"
"Marcus Smith","TEX","AA",24,53,143,162,20,13,2,1,4,16,16,16,0,71,1,1,1,0,3,0,0.139860139,"sa1169620"
"Freuddy Batista","SEA","AA",25,14,56,58,15,10,4,0,1,6,10,1,0,17,1,0,0,0,0,0,0.267857142,"sa3002866"
"Luis Mieses","TEX","AA",25,109,394,428,92,61,15,2,14,45,54,31,1,85,1,2,0,8,1,2,0.233502538,"sa3003274"
"Francisco Acuna","SDP","AA",25,109,407,477,102,76,17,1,8,59,42,54,1,106,10,3,2,9,23,7,0.25061425,"sa3003291"
