Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Delino DeShields","WSN","AA",32,37,103,127,27,22,4,1,0,19,6,16,0,35,2,0,6,3,3,1,0.262135922,"11379"
"Jesse Winker","NYM","AA",31,2,6,8,2,1,0,0,1,2,4,2,0,1,0,0,0,0,0,0,0.333333333,"13590"
"Jeff McNeil","NYM","AA",33,2,9,9,6,3,1,0,2,4,2,0,0,0,0,0,0,0,0,0,0.666666666,"15362"
"Tyler O'Neill","BAL","AA",30,6,18,20,4,3,0,0,1,1,2,2,0,7,0,0,0,0,0,0,0.222222222,"15711"
"Lane Thomas","CLE","AA",29,3,8,10,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,"16939"
"Paul DeJong","WSN","AA",31,12,40,46,11,9,1,0,1,4,6,4,0,12,1,1,0,0,1,1,0.275,"18015"
"Yonny Hernandez","NYM","AA",27,17,52,56,9,9,0,0,0,4,5,3,0,4,0,0,1,2,2,2,0.173076923,"19432"
"Keibert Ruiz","WSN","AA",26,3,8,11,0,0,0,0,0,2,0,3,0,6,0,0,0,0,0,0,0,"19610"
"Drew Ellis","SFG","AA",29,16,51,61,7,4,2,0,1,5,3,10,0,17,0,0,0,1,0,0,0.137254901,"19873"
"Jazz Chisholm Jr.","NYY","AA",27,3,9,10,3,2,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0.333333333,"20454"
"Seth Beer","PHI","AA",28,30,105,120,20,13,4,0,3,15,10,11,0,27,3,1,0,2,0,0,0.19047619,"20493"
"Mark Kolozsvary","BOS","AA",29,23,73,83,14,5,5,0,4,8,9,9,0,25,1,0,0,2,1,0,0.191780821,"21304"
"Oneil Cruz","PIT","AA",26,2,6,8,1,0,0,1,0,2,3,2,0,2,0,0,0,0,1,0,0.166666666,"21711"
"Cal Mitchell","SFG","AA",26,40,142,156,24,16,5,0,3,14,7,14,0,46,0,0,0,0,1,4,0.169014084,"22169"
"Jeremiah Jackson","BAL","AA",25,45,177,189,45,25,16,0,4,18,19,9,0,31,1,2,0,4,2,3,0.254237288,"22239"
"David Banuelos","BAL","AA",28,4,16,17,4,4,0,0,0,2,0,1,0,6,0,0,0,0,0,0,0.25,"23250"
"Ronny Mauricio","NYM","AA",24,5,17,18,2,0,2,0,0,1,2,1,0,7,0,0,0,0,0,0,0.117647058,"23698"
"Jordyn Adams","BAL","AA",25,1,5,5,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.2,"23788"
"Jose Rodriguez","PHI","AA",24,26,99,108,30,24,5,0,1,11,16,6,0,13,1,2,0,1,5,3,0.303030303,"24388"
"Terrin Vavra","BAL","AA",28,1,4,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,"24400"
"Travis Swaggerty","NYM","AA",27,24,68,76,12,7,5,0,0,7,3,8,0,24,0,0,0,1,2,1,0.176470588,"24491"
"David Fry","CLE","AA",29,3,9,10,1,1,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0.111111111,"24934"
