Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Scott Alexander","SFG","AAA",35,0,0,13.50000804663184,7,0,0,0,0,0,1,5.1,31,12,8,8,1,2,0,0,0,0,3,"10591"
"Andrew Bellatti","SDP","AAA",33,0,0,11.571420689023775,5,0,0,0,0,0,0,4.2,28,10,6,6,0,5,0,1,2,0,5,"10657"
"Michael Mariot","SEA","AAA",36,4,4,5.739130434782608,23,8,0,0,0,0,1,69,323,93,47,44,11,25,0,5,2,0,52,"10835"
"Casey Lawrence","SEA","AAA",37,9,3,5.31,20,19,1,0,0,0,0,100,430,113,64,59,16,19,0,3,2,2,54,"11121"
"David Buchanan","TEX","AAA",36,0,1,5.275862068965517,6,6,0,0,0,0,0,29,134,38,21,17,5,12,0,1,0,0,19,"11176"
"Drew Pomeranz","SEA","AAA",36,0,1,4.655170882925203,9,0,0,0,2,0,1,9.2,43,6,6,5,0,6,1,2,1,0,14,"11426"
"Yolmer Sanchez","LAA","AAA",33,0,1,33.750083483962094,2,0,0,0,0,1,0,1.1,12,7,5,5,0,1,0,0,0,0,0,"11602"
"Luke Jackson","SEA","AAA",33,0,0,7.7142970124235,3,0,0,0,0,0,0,2.1,12,5,2,2,0,0,0,0,0,0,4,"11752"
"Hector Neris","LAA","AAA",36,0,1,4.5,4,0,0,0,2,1,0,4,16,3,2,2,1,1,0,0,0,0,8,"11804"
"Scott McGough","OAK","AAA",35,5,0,3.319671871648705,30,0,0,0,1,1,3,40.2,173,41,17,15,3,13,1,2,3,0,40,"12056"
"Aaron Brooks","OAK","AAA",35,3,6,5.777292961373339,16,12,0,0,0,1,0,76.1,344,88,60,49,16,29,0,3,1,0,55,"12272"
"Blake Treinen","LAD","AAA",37,0,0,0,6,1,0,0,0,0,0,6,20,0,1,0,0,1,0,0,0,0,9,"12572"
"Adrian Houser","TEX","AAA",32,2,2,5.033898956027138,9,8,0,0,0,0,0,39.1,162,30,22,22,4,15,0,5,0,1,37,"12718"
"Yu Darvish","SDP","AAA",38,0,1,4.5,1,1,0,0,0,0,0,4,14,2,2,2,1,1,0,0,0,0,4,"13074"
"Jordan Weems","HOU","AAA",32,4,1,4.0344827586206895,25,0,0,0,0,1,2,29,126,27,14,13,2,13,0,1,2,0,31,"13190"
"Michael Fulmer","SEA","AAA",32,0,0,0.75,12,0,0,0,1,0,1,12,49,7,2,1,1,5,0,0,0,0,18,"13218"
"Jesse Hahn","SEA","AAA",35,0,2,5.845361744259194,35,0,0,0,9,4,5,32.1,152,38,24,21,3,16,2,2,2,0,34,"13287"
"Dylan Floro","OAK","AAA",34,1,2,7.043479721127328,16,0,0,0,0,1,5,15.1,70,23,13,12,3,5,0,0,1,0,12,"13394"
"Matt Bowman","HOU","AAA",34,2,2,3.483872039509447,9,1,0,0,0,0,0,10.1,44,8,5,4,1,3,0,2,1,0,11,"13528"
"Blake Snell","LAD","AAA",32,0,0,1.038461157556256,2,2,0,0,0,0,0,8.2,33,4,1,1,0,5,0,0,0,0,13,"13543"
"Robert Stephenson","LAA","AAA",32,0,0,5.4,5,0,0,0,0,0,2,5,19,4,3,3,2,1,0,0,0,0,7,"13594"
"Carl Edwards Jr.","TEX","AAA",33,2,1,4.440789195061408,15,8,0,0,2,0,1,50.2,221,58,31,25,7,16,0,2,1,1,57,"13607"
"Tayler Scott","ARI","AAA",33,2,3,3.9705893907789602,23,0,0,0,4,3,2,22.2,99,23,12,10,1,10,1,1,0,0,26,"13652"
"Jack Lopez","SEA","AAA",32,0,0,9,1,0,0,0,0,0,0,1,5,2,1,1,1,0,0,0,0,0,2,"13663"
"JT Chargois","TEX","AAA",34,0,1,19.285701148372958,5,0,0,0,0,0,2,4.2,29,11,14,10,5,3,0,1,0,0,7,"13767"
"Albert Almora Jr.","ARI","AAA",31,0,0,9,1,0,0,0,0,0,0,1,4,2,1,1,0,0,0,0,0,0,0,"14109"
"Lance McCullers Jr.","HOU","AAA",31,1,0,2.4545454545454546,3,3,0,0,0,0,0,11,44,7,3,3,0,4,0,1,1,0,13,"14120"
"Ty Blach","TEX","AAA",34,3,0,3.8823529411764706,11,11,0,0,0,0,0,51,224,61,29,22,5,13,0,2,1,0,40,"14361"
